server time    : 2020-10-28 16:05:35(1603868735)
delay time     : 1.904
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   479,           ,      7,      3,     10
   480,           ,     11,      4,     10
   481,           ,     12,      3,     10
   482,           ,     12,      7,      2
   483,           ,      6,      7,      3
   484,           ,     14,      9,      1
   485,           ,      7,      7,     -1
   486,           ,      9,      6,      2
   487,           ,      5,      6,     -5
   488,           ,     -3,      8,     -8
   489,           ,     -1,      4,    -11
   490,           ,      1,     -1,     -8
   491,           ,     -2,     -3,     -7
   492,           ,     -7,     -3,    -10
   493,           ,     -9,     -1,    -11
   494,           ,     -9,     -2,     -7
   495,           ,     -9,     -6,     -1
   496,           ,     -4,     -5,      3
   497,           ,     -9,     -7,      2
   498,           ,     -9,     -1,      4
   499,           ,     -9,     -3,      7
   500,           ,     -2,     -3,     12
   501,           ,      3,      0,     12
   502,           ,      5,     -5,      8
   503,           ,      3,      1,     14
   504,           ,     12,     -1,     11
   505,           ,     16,      1,     10
   506,           ,     14,      7,      8
   507,           ,      3,      7,      8
   508,           ,     13,      9,      5
   509,           ,     12,      8,      3
   510,           ,     10,      6,      3
   511,           ,     14,      7,     -4
   512,           ,      6,      4,    -11
   513,           ,      1,      3,    -10
   514,           ,      6,      1,     -8
   515,           ,     -4,     -3,    -13
   516,           ,      0,      6,     -9
   517,           ,     -9,     -2,    -11
   518,           ,    -11,      1,     -5
   519,           ,     -6,     -3,     -5
   520,           ,    -10,     -5,     -4
   521,           ,     -5,     -7,      2
   522,           ,    -13,     -5,      2
   523,           ,     -7,     -4,      2
   524,           ,     -9,     -3,      9
   525,           ,     -1,     -9,      9
   526,           ,      4,      1,     12
   527,           ,     -3,      3,      8
   528,           ,     -4,      6,     10
   529,           ,      4,      3,      9
   530,           ,      8,      2,     11
   531,           ,     13,      0,      8
   532,           ,      9,      3,      9
   533,           ,      6,     13,      0
   534,           ,     13,      5,      1
   535,           ,      5,      6,      1
   536,           ,     10,      9,     -4
   537,           ,      6,      7,     -8
   538,           ,      5,      9,     -7
   539,           ,      6,      2,    -13
   540,           ,     -1,     -5,     -9
   541,           ,     -1,     -4,     -9
   542,           ,     -5,     -1,    -12
   543,           ,     -9,     -2,    -11
   544,           ,     -5,     -2,    -10
   545,           ,     -7,     -6,     -6
   546,           ,     -5,     -2,     -6
   547,           ,    -13,     -9,     -4
   548,           ,    -10,     -1,     -1
   549,           ,     -8,     -7,      4
   550,           ,     -3,     -6,      3
   551,           ,     -9,     -7,     12
   552,           ,     -6,     -5,     10
   553,           ,     -5,      4,      7
   554,           ,      0,      0,     12
   555,           ,      9,     -5,      9
   556,           ,      7,      0,      7
   557,           ,      2,      6,      7
   558,           ,      1,      7,      7
   559,           ,      8,      7,      1
   560,           ,      6,      3,      0
   561,           ,      8,      7,      0
   562,           ,      9,      7,     -1
   563,           ,      4,     11,     -9
   564,           ,      7,      2,     -4
   565,           ,      6,      2,     -5
   566,           ,     -4,      0,     -5
   567,           ,     -7,     -3,     -6
   568,           ,     -7,      0,    -12
   569,           ,     -6,     -4,    -11
   570,           ,     -7,     -5,     -9
   571,           ,     -7,     -7,     -8
   572,           ,    -12,     -5,     -5
   573,           ,    -13,     -1,     -5
   574,           ,     -5,     -7,     -4
   575,           ,     -7,     -5,      2
   576,           ,     -9,     -8,      5
   577,           ,     -8,     -4,      4
   578,           ,     -5,     -3,      5
   579,           ,      3,     -1,      7
   580,           ,      3,     -6,      9
   581,           ,      4,     -2,     11
   582,           ,      6,      4,      7
   583,           ,      4,      6,      7
   584,           ,     11,      7,      6
   585,           ,      8,      2,      4
   586,           ,     10,      7,      8
   587,           ,      5,      8,      3
   588,           ,      9,      7,     -5
   589,           ,      7,      7,     -3
   589,      0.648,      6,      4,     -6
   590,           ,      3,      2,     -8
   591,           ,     -2,      1,    -15
   592,           ,     -6,      1,     -7
   593,           ,     -7,      3,     -9
   594,           ,     -4,     -4,    -12
   595,           ,     -6,     -2,     -8
   596,           ,     -3,      3,    -10
   597,           ,    -13,     -3,     -5
   598,           ,     -9,     -6,     -6
