server time    : 2020-10-27 12:27:52(1603769272)
delay time     : 2.829
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   547,           ,    -11,     -3,    -10
   548,           ,    -15,      3,     -6
   549,           ,    -14,      4,     -5
   550,           ,    -12,      1,     -5
   551,           ,    -10,      1,     -1
   552,           ,    -10,     -2,     -4
   553,           ,    -13,      4,      0
   554,           ,     -2,      2,     -9
   555,           ,     -1,     -5,     -5
   556,           ,     -6,     -7,     -6
   557,           ,     -5,      1,     -5
   558,           ,     -1,     -1,     -3
   559,           ,      6,     -1,     -5
   560,           ,      4,      0,     -3
   561,           ,      7,     -5,      2
   562,           ,     -3,      3,     -3
   563,           ,     -1,     -1,     -6
   564,           ,      8,      3,     -7
   565,           ,      2,     -7,     -7
   566,           ,     -1,     -1,      0
   567,           ,     -6,     -1,     -1
   568,           ,    -12,      7,     -4
   569,           ,     -6,     -1,     -5
   570,           ,    -11,      0,     -4
   571,           ,     -7,      0,      1
   572,           ,    -14,      0,     -4
   573,           ,     -8,      2,     -1
   574,           ,    -12,      3,     -1
   575,           ,    -16,     -1,      2
   576,           ,    -12,      1,      4
   577,           ,     -9,      3,     -1
   578,           ,     -9,      1,      0
   579,           ,     -8,      1,      1
   580,           ,     -7,     -2,     -3
   581,           ,     -3,     -1,      1
   582,           ,     -6,     -1,      2
   583,           ,      0,      2,      2
   584,           ,      3,      1,      1
   585,           ,      4,     -2,      3
   586,           ,      0,     -5,      6
   587,           ,      4,      1,      0
   588,           ,     -4,      5,      0
   589,           ,      4,      2,     -1
   589,      0.648,      0,      1,      0
   590,           ,      0,     -2,      6
   591,           ,     -4,     -2,     -2
   592,           ,    -10,      6,      2
   593,           ,     -4,      0,      1
   594,           ,     -5,     -5,      3
   595,           ,     -6,      0,      6
   596,           ,     -2,     -5,     -1
   597,           ,     -8,      3,      2
   598,           ,     -1,      3,      1
   599,           ,     -3,      0,      4
   600,           ,     -4,      0,      3
   601,           ,    -10,      1,      2
   602,           ,     -7,      5,      1
