accelometer ODR: 3200 Hz
 Row #, X-AXIS, Y-AXIS, Z-AXIS
   738,      5,      4,     -4
   739,     -1,     -6,      7
   740,     -5,      2,      1
   741,     -5,      5,     -1
   742,     -9,     -4,      2
   743,     -1,     -3,     -2
   744,     -1,     -1,     -2
   745,     -3,      2,      2
   746,      2,     10,     -3
   747,     -1,      0,     -3
   748,      3,      0,     -6
   749,     -1,     -3,      1
   750,     -3,      6,     -3
   751,      0,      5,     -1
   752,      1,      0,      0
   753,      2,     -2,      3
   754,     -7,     -6,      4
   755,     -4,      2,      3
   756,     -1,      2,     -5
   757,     -1,      3,      2
   758,      3,     -5,      2
   759,     -2,     -2,      4
   760,      0,      0,     -3
   761,     -1,      0,     -2
   762,     -2,      8,     -1
   763,      0,     -1,     -3
   764,      0,     -3,      3
   765,     -6,      0,      5
   766,     -1,      7,     -3
   767,     -2,      4,     -1
   768,      0,     -5,     -2
   769,      0,     -1,      7
   770,      2,      5,     -3
   771,     -4,      5,      1
   772,     -1,      2,      0
   773,      3,     -1,      3
   774,      0,     -5,      8
   775,     -1,      4,      2
   776,     -1,      6,     -4
   777,      0,     -1,      3
   778,      1,      2,      4
   779,      0,     -2,     -1
   780,      6,      0,      2
   781,      2,      0,      0
   782,      2,      2,     -1
   783,      0,     -1,      0
   784,      2,      1,      5
   785,      1,      4,     -1
   786,     -1,     -3,      0
   787,      5,      2,     -3
   788,      1,      0,      1
   789,      3,     -3,      3
   790,      1,      6,      2
   791,     -2,      5,      1
   792,      2,      2,      1
   793,     -4,      2,      0
   794,      0,     -3,      1
   795,     -2,     -1,      2
   796,      0,      3,      1
   797,      1,     -1,     -1
   798,      2,     -3,      0
   799,     -1,      3,      2
   800,     -1,      5,     -3
   801,      0,      6,     -2
   802,      1,     -1,      0
   803,      0,      3,      4
   804,      2,     -1,      7
   805,     -1,      1,      1
   806,     -1,      4,     -3
   807,     -2,      6,     -1
   808,      5,     -6,      1
   809,      0,     -4,      3
   810,      2,      5,     -3
   811,      3,      1,     -2
   812,      0,     -2,     -1
   813,      5,     -4,      0
   814,     -2,     -8,      5
   815,     -1,     -4,      1
   816,     -2,     -1,      1
   817,      1,      4,     -3
   818,     -5,      2,      1
   819,      3,      4,      8
   820,     -1,      6,      1
   821,      0,      4,     -3
   822,      4,     -2,      2
   823,      3,      2,      4
   824,      2,     -1,      4
   825,     -1,      3,     -3
   826,      3,      1,     -2
   827,     -1,     -1,      1
   828,      0,     -4,      5
   829,     -2,     -5,      3
   830,      0,     -2,      3
   831,      1,     -6,     -3
   832,     -4,     -1,      1
   833,      4,     -2,      2
   834,      0,     -4,      4
   835,     -1,      2,      2
   836,      2,      2,     -6
   837,     -4,      1,      3
   838,      3,      1,     -1
   839,     -1,     -6,      5
   840,     -4,     -1,      2
   841,     -7,      4,      0
   842,     -1,     -3,      5
   843,      1,     -3,      2
   844,      0,     -4,      3
   845,     -2,     -1,     -1
   846,      3,      3,     -2
   847,     -4,     -2,      5
   848,     -2,     -5,      3
   849,      4,     -1,      1
   850,     -6,     -1,      2
   851,     -4,     -2,      2
   852,     -1,     -2,     -3
   853,      3,     -1,      3
   854,      0,     -5,      7
   855,     -4,     -1,      1
   856,     -2,      3,     -4
   857,     -2,     -1,     -2
   858,      1,     -5,     -3
   859,      3,     -5,      1
   860,     -8,      3,     -4
   861,     -1,     -4,     -7
   862,      3,      3,     -2
   863,      4,     -2,      0
   864,     -1,      0,      3
   865,      0,     -1,      5
   866,      0,     -1,      1
   867,      6,      7,      1
   868,      0,     -1,      0
   869,      5,      0,      4
   870,     -2,      0,      0
   871,      0,      0,     -2
   872,      6,      3,      1
   873,      6,     -2,      4
   874,     -3,     -1,      3
   875,     -2,      4,     -1
   876,      0,     -2,     -2
   877,      2,      0,      1
   878,      2,     -5,      5
   879,     -1,     -2,      0
   880,      1,      7,     -1
   881,      2,      2,      1
   882,     -1,      2,     -7
   883,     -3,     -4,      0
   884,      3,     -4,      1
   885,      2,      5,     -1
   886,      1,      4,      1
   887,     -1,      1,      2
   888,      2,      0,     -3
   889,     -3,      0,     -5
   890,      1,     -4,      3
   891,      2,     -5,      0
   892,      3,     -1,     -2
   893,     -3,      1,      0
   894,      0,      3,     -2
   895,      2,      1,     -4
   896,      2,     -1,     -2
   897,      3,     -1,      1
   898,      0,     -1,     -3
   899,     -4,      2,     -3
   900,      4,      0,     -1
   901,      4,     -1,     -1
   902,      0,      1,      3
   903,      2,     -7,      2
   904,      2,      0,      0
   905,      2,      2,     -3
   906,     -1,     -4,      3
   907,      2,     -3,      2
   908,      6,     -1,      0
   909,     -1,      5,      1
   910,      2,     -1,     -3
   911,      3,     -5,     -3
   912,      5,     -6,      4
   913,     -2,      5,      3
   914,      0,     -2,     -1
   915,      5,     -3,     -2
   916,      3,     -1,     -1
   917,      7,     -1,      0
   918,      2,     -1,      0
   919,      0,      2,     -3
   920,      0,     -3,      2
   921,      5,     -4,     -2
   922,      3,      2,      3
   923,     -2,     -1,     -2
   924,      1,      2,      0
   925,     -1,      0,      2
   926,      3,     -4,      0
   927,      4,      4,      5
   928,     -6,     -2,     -3
   929,     -6,      5,     -1
   930,     -1,      1,      2
   931,      3,     -1,     -3
   932,      1,      3,      1
   933,      1,     -4,      0
   934,     -2,      1,      5
   935,     -1,      0,     -1
   936,      6,     -3,      3
   937,     -2,      2,      6
   938,     -2,     -2,      4
   939,     -6,      2,     -1
   940,     -1,     -3,     -1
   941,      5,     -1,     -2
   942,     -2,      4,      2
   943,     -2,      0,      6
   944,     -2,      7,     -4
   945,      4,     -1,      0
   946,      4,      1,     -3
   947,      3,      0,      1
   948,     -2,      0,      4
   949,     -5,      4,     -3
   950,      1,     -1,      0
   951,      3,     -6,      0
   952,     -2,      1,      1
   953,     -2,      0,      0
   954,     -3,      3,      0
   955,     -3,      4,     -1
   956,      6,     -3,      0
   957,      4,     -2,      4
   958,     -3,      0,      0
   959,      2,      4,     -2
   960,     -1,      3,      2
   961,      3,     -1,      3
   962,      5,      3,      4
   963,     -4,      3,     -2
   964,     -4,     -2,      6
   965,      5,      2,     -1
   966,      3,      0,      4
   967,      1,      2,      0
   968,     -2,      1,      0
   969,     -5,      2,     -2
   970,      1,      2,      4
   971,      2,     -1,     -2
   972,      3,      0,      6
   973,     -1,     -1,      1
   974,     -1,      3,      5
   975,      2,      0,      2
   976,     -1,      3,     -2
   977,      6,      1,      1
   978,     -1,     -2,     -1
   979,     -3,      7,     -4
   980,     -1,     -1,     -3
   981,     -3,     -1,      1
   982,     -3,     -3,      4
   983,     -1,      1,      1
   984,     -6,      3,     -4
   985,     -3,      3,      1
   986,     -1,      0,      1
   987,      3,     -5,      1
   988,     -2,     -1,     -1
   989,     -4,      3,     -1
   990,     -1,     -1,      0
   991,     -2,     -1,      1
   992,     -1,      2,      0
   993,     -5,      3,     -3
   994,     -3,      2,      0
   995,      2,      2,     -3
   996,      3,     -1,      0
   997,     -2,      0,      0
   998,     -5,      7,      0
   999,     -4,      8,      1
  1000,      0,      0,      2
  1001,      4,     -2,      1
  1002,      1,     -3,      2
  1003,     -3,      1,      0
  1004,     -5,      5,     -2
  1005,     -2,      1,     -5
  1006,     -7,     -2,     -3
  1007,     -3,      1,     -1
  1008,     -2,      1,     -4
  1009,      0,     -2,     -2
  1010,     -3,     -1,     -1
  1011,      3,     -4,     -2
  1012,     -1,     -6,      1
  1013,     -2,     -1,     -1
  1014,     -3,      3,     -6
  1015,      6,     -1,      0
  1016,      6,      2,      0
  1017,      0,      1,     -2
  1018,     -4,      1,     -2
  1019,      0,     -1,      1
  1020,     -1,      2,     -2
  1021,      5,     -1,      2
  1022,      4,      5,      1
  1023,     -4,      5,     -3
  1024,      0,      1,      1
  1025,      5,      1,     -1
  1026,      0,      1,      0
  1027,      2,      2,      1
  1028,      2,     -1,     -3
  1029,      3,     -4,     -3
  1030,      6,     -1,     -2
  1031,      4,      1,     -1
  1032,     -2,      1,      3
  1033,     -1,      2,      2
  1034,     -4,      4,      0
  1035,      1,     -1,      2
  1036,      3,      1,     -2
  1037,     -4,     -5,     -3
  1038,      3,     -7,     -2
  1039,      0,     -3,      4
  1040,     -8,     -2,      2
